Round: 1, Child: 0, Score: 225.0, VisitCount: 1709, Child: 1, Score: 191.5, VisitCount: 1877, Child: 2, Score: 1660.0, VisitCount: 3777, 
Round: 0, Child: 0, Score: 678.0, VisitCount: 2892, Child: 1, Score: 1258.5, VisitCount: 4731, Child: 2, Score: 1085.0, VisitCount: 4155, 
Round: 1, Child: 0, Score: 186.5, VisitCount: 1737, Child: 1, Score: 1172.0, VisitCount: 4401, Child: 2, Score: 200.0, VisitCount: 1765, 
Round: 2, Child: 0, Score: 109.0, VisitCount: 1511, Child: 1, Score: 1362.5, VisitCount: 3801, Child: 2, Score: 150.5, VisitCount: 1173, 
Round: 3, Child: 0, Score: 387.0, VisitCount: 1990, Child: 1, Score: 413.5, VisitCount: 2018, Child: 2, Score: 1390.5, VisitCount: 4962, 
Round: 4, Child: 0, Score: 135.0, VisitCount: 843, Child: 1, Score: 144.0, VisitCount: 1129, Child: 2, Score: 1407.0, VisitCount: 3593, 
Round: 5, Child: 0, Score: 233.5, VisitCount: 1466, Child: 1, Score: 1008.5, VisitCount: 4442, Child: 2, Score: 224.0, VisitCount: 1514, 
Round: 6, Child: 0, Score: 900.0, VisitCount: 3237, Child: 1, Score: 52.0, VisitCount: 623, Child: 2, Score: 33.5, VisitCount: 381, 
Round: 7, Child: 0, Score: 118.0, VisitCount: 962, Child: 1, Score: 155.0, VisitCount: 1002, Child: 2, Score: 969.5, VisitCount: 3942, 
Round: 8, Child: 0, Score: 23.0, VisitCount: 1030, Child: 1, Score: 205.0, VisitCount: 2362, Child: 2, Score: 5.0, VisitCount: 807, 
Round: 9, Child: 0, Score: 368.0, VisitCount: 3325, Child: 1, Score: 26.5, VisitCount: 775, Child: 2, Score: 32.0, VisitCount: 826, 
Round: 10, Child: 0, Score: 0.0, VisitCount: 1181, Child: 1, Score: 0.0, VisitCount: 1180, Child: 2, Score: 0.0, VisitCount: 1180, 
Round: 11, Child: 0, Score: 0.0, VisitCount: 1109, Child: 1, Score: 0.0, VisitCount: 1109, Child: 2, Score: 0.0, VisitCount: 1109, 
Round: 12, Child: 0, Score: 0.0, VisitCount: 1276, Child: 1, Score: 0.0, VisitCount: 1275, Child: 2, Score: 0.0, VisitCount: 1275, 
Round: 13, Child: 0, Score: 0.0, VisitCount: 1181, Child: 1, Score: 0.0, VisitCount: 1181, Child: 2, Score: 0.0, VisitCount: 1180, 
Round: 14, Child: 0, Score: 0.0, VisitCount: 1112, Child: 1, Score: 0.0, VisitCount: 1112, Child: 2, Score: 0.0, VisitCount: 1112, 
Round: 15, Child: 0, Score: 0.0, VisitCount: 1027, Child: 1, Score: 0.0, VisitCount: 1026, Child: 2, Score: 0.0, VisitCount: 1026, 
Round: 16, Child: 0, Score: 0.0, VisitCount: 1022, Child: 1, Score: 0.0, VisitCount: 1022, Child: 2, Score: 0.0, VisitCount: 1022, 
Round: 17, Child: 0, Score: 0.0, VisitCount: 1007, Child: 1, Score: 0.0, VisitCount: 1007, Child: 2, Score: 0.0, VisitCount: 1007, 
Round: 18, Child: 0, Score: 0.0, VisitCount: 1501, Child: 1, Score: 0.0, VisitCount: 1501, 
Round: 19, Child: 0, Score: 0.0, VisitCount: 3001, 
Round: 0, Child: 0, Score: 2037.0, VisitCount: 3801, Child: 1, Score: 268.0, VisitCount: 2099, Child: 2, Score: 347.5, VisitCount: 1979, 
Round: 1, Child: 0, Score: 704.0, VisitCount: 2658, Child: 1, Score: 1751.0, VisitCount: 5466, Child: 2, Score: 726.5, VisitCount: 2722, 
Round: 2, Child: 0, Score: 1186.0, VisitCount: 3031, Child: 1, Score: 898.5, VisitCount: 2402, Child: 2, Score: 1869.0, VisitCount: 4623, 
Round: 3, Child: 0, Score: 1006.0, VisitCount: 2774, Child: 1, Score: 744.0, VisitCount: 2274, Child: 2, Score: 731.0, VisitCount: 2239, 
Round: 4, Child: 0, Score: 1837.5, VisitCount: 3725, Child: 1, Score: 257.0, VisitCount: 1151, Child: 2, Score: 319.5, VisitCount: 1217, 
Round: 5, Child: 0, Score: 900.0, VisitCount: 1942, Child: 1, Score: 2020.0, VisitCount: 4134, Child: 2, Score: 546.5, VisitCount: 1322, 
Round: 6, Child: 0, Score: 2450.0, VisitCount: 3569, Child: 1, Score: 266.0, VisitCount: 731, Child: 2, Score: 142.5, VisitCount: 453, 
Round: 7, Child: 0, Score: 183.5, VisitCount: 557, Child: 1, Score: 140.0, VisitCount: 381, Child: 2, Score: 2222.5, VisitCount: 3293, 
Round: 8, Child: 0, Score: 1408.5, VisitCount: 2778, Child: 1, Score: 902.5, VisitCount: 1846, Child: 2, Score: 280.0, VisitCount: 866, 
Round: 9, Child: 0, Score: 19.5, VisitCount: 437, Child: 1, Score: 306.5, VisitCount: 1868, Child: 2, Score: 404.0, VisitCount: 2054, 
Round: 10, Child: 0, Score: 915.0, VisitCount: 2887, Child: 1, Score: 66.5, VisitCount: 403, Child: 2, Score: 68.0, VisitCount: 409, 
Round: 11, Child: 0, Score: 28.5, VisitCount: 117, Child: 1, Score: 23.5, VisitCount: 117, Child: 2, Score: 2213.5, VisitCount: 3117, 
Round: 12, Child: 0, Score: 81.5, VisitCount: 242, Child: 1, Score: 1790.0, VisitCount: 3282, Child: 2, Score: 89.5, VisitCount: 272, 
Round: 13, Child: 0, Score: 11.0, VisitCount: 61, Child: 1, Score: 1893.0, VisitCount: 3029, Child: 2, Score: 26.0, VisitCount: 93, 
Round: 14, Child: 0, Score: 39.0, VisitCount: 143, Child: 1, Score: 36.5, VisitCount: 137, Child: 2, Score: 1631.0, VisitCount: 3038, 
Round: 15, Child: 0, Score: 1975.0, VisitCount: 3010, Child: 1, Score: 0.0, VisitCount: 31, Child: 2, Score: 3.0, VisitCount: 38, 
Round: 16, Child: 0, Score: 1.0, VisitCount: 23, Child: 1, Score: 2454.0, VisitCount: 3020, Child: 2, Score: 1.0, VisitCount: 23, 
Round: 17, Child: 0, Score: 0.0, VisitCount: 1003, Child: 1, Score: 0.0, VisitCount: 1003, Child: 2, Score: 0.0, VisitCount: 1003, 
Round: 18, Child: 0, Score: 0.0, VisitCount: 1501, Child: 1, Score: 0.0, VisitCount: 1501, 
Round: 19, Child: 0, Score: 0.0, VisitCount: 3001, 
Round: 0, Child: 0, Score: 758.0, VisitCount: 2620, Child: 1, Score: 1271.0, VisitCount: 4039, Child: 2, Score: 1542.5, VisitCount: 4813, 
Round: 1, Child: 0, Score: 1071.5, VisitCount: 3391, Child: 1, Score: 1578.0, VisitCount: 4797, Child: 2, Score: 613.5, VisitCount: 2338, 
Round: 2, Child: 0, Score: 1179.5, VisitCount: 3593, Child: 1, Score: 98.0, VisitCount: 853, Child: 2, Score: 221.0, VisitCount: 1407, 
Round: 3, Child: 0, Score: 966.5, VisitCount: 3927, Child: 1, Score: 662.5, VisitCount: 2801, Child: 2, Score: 434.0, VisitCount: 2018, 
Round: 4, Child: 0, Score: 170.0, VisitCount: 799, Child: 1, Score: 1564.0, VisitCount: 3865, Child: 2, Score: 103.5, VisitCount: 615, 
Round: 5, Child: 0, Score: 2329.5, VisitCount: 3449, Child: 1, Score: 84.0, VisitCount: 601, Child: 2, Score: 154.5, VisitCount: 509, 
Round: 6, Child: 0, Score: 116.0, VisitCount: 605, Child: 1, Score: 1464.5, VisitCount: 3363, Child: 2, Score: 130.5, VisitCount: 713, 
Round: 7, Child: 0, Score: 203.0, VisitCount: 1082, Child: 1, Score: 856.0, VisitCount: 3071, Child: 2, Score: 535.5, VisitCount: 2033, 
Round: 8, Child: 0, Score: 447.5, VisitCount: 2969, Child: 1, Score: 22.0, VisitCount: 670, Child: 2, Score: 39.0, VisitCount: 820, 
